DATE,DJUA
2019-10-10,872.20
2019-10-11,866.66
2019-10-14,859.80
2019-10-15,857.10
2019-10-16,859.40
2019-10-17,862.34
2019-10-18,866.01
2019-10-21,868.22
2019-10-22,873.27
2019-10-23,876.46
2019-10-24,879.82
2019-10-25,866.92
2019-10-28,854.55
2019-10-29,855.03
2019-10-30,860.10
2019-10-31,867.52
2019-11-01,867.83
2019-11-04,856.93
2019-11-05,848.26
2019-11-06,850.36
2019-11-07,838.34
2019-11-08,835.30
2019-11-11,829.75
2019-11-12,832.20
2019-11-13,844.31
2019-11-14,845.53
2019-11-15,848.47
2019-11-18,850.54
2019-11-19,848.31
2019-11-20,855.01
2019-11-21,851.37
2019-11-22,851.25
2019-11-25,848.88
2019-11-26,852.18
2019-11-27,852.87
2019-11-28,.
2019-11-29,851.72
2019-12-02,845.88
2019-12-03,850.67
2019-12-04,855.80
2019-12-05,856.86
2019-12-06,855.04
2019-12-09,851.78
2019-12-10,852.58
2019-12-11,855.01
2019-12-12,849.68
2019-12-13,856.85
2019-12-16,867.33
2019-12-17,867.99
2019-12-18,871.90
2019-12-19,871.87
2019-12-20,878.26
2019-12-23,870.15
2019-12-24,871.56
2019-12-25,.
2019-12-26,874.33
2019-12-27,876.22
2019-12-30,875.41
2019-12-31,879.17
2020-01-01,.
2020-01-02,866.82
2020-01-03,867.44
2020-01-06,870.03
2020-01-07,868.60
2020-01-08,868.91
2020-01-09,872.65
2020-01-10,874.10
2020-01-13,879.69
2020-01-14,882.07
2020-01-15,895.82
2020-01-16,900.42
2020-01-17,908.30
2020-01-20,.
2020-01-21,917.10
2020-01-22,919.96
2020-01-23,928.57
2020-01-24,931.94
2020-01-27,929.65
2020-01-28,933.09
2020-01-29,935.10
2020-01-30,943.03
2020-01-31,938.57
2020-02-03,940.67
2020-02-04,930.34
2020-02-05,934.85
2020-02-06,935.16
2020-02-07,931.83
2020-02-10,934.97
2020-02-11,938.48
2020-02-12,938.12
2020-02-13,947.38
2020-02-14,955.35
2020-02-17,.
2020-02-18,960.89
2020-02-19,950.01
2020-02-20,952.40
2020-02-21,948.74
2020-02-24,935.91
2020-02-25,915.77
2020-02-26,906.97
2020-02-27,865.47
2020-02-28,839.96
2020-03-02,886.52
2020-03-03,877.25
2020-03-04,926.14
2020-03-05,908.14
2020-03-06,901.70
2020-03-09,852.80
2020-03-10,860.03
2020-03-11,812.44
2020-03-12,723.88
2020-03-13,762.60
2020-03-16,678.03
2020-03-17,769.69
2020-03-18,737.25
2020-03-19,695.92
2020-03-20,646.13
2020-03-23,610.89
2020-03-24,673.89
2020-03-25,697.96
2020-03-26,757.92
2020-03-27,758.93
2020-03-30,785.14
2020-03-31,756.16
2020-04-01,708.04
2020-04-02,729.36
2020-04-03,706.01
2020-04-06,758.06
2020-04-07,750.81
2020-04-08,789.15
2020-04-09,827.83
2020-04-10,.
2020-04-13,801.39
2020-04-14,825.10
2020-04-15,796.95
2020-04-16,797.54
2020-04-17,823.98
2020-04-20,794.85
2020-04-21,780.99
2020-04-22,804.41
2020-04-23,790.75
2020-04-24,795.09
2020-04-27,805.80
2020-04-28,804.93
2020-04-29,798.48
2020-04-30,778.29
2020-05-01,759.08
2020-05-04,767.37
2020-05-05,773.21
2020-05-06,746.35
2020-05-07,751.97
2020-05-08,764.11
2020-05-11,761.83
2020-05-12,753.30
2020-05-13,747.54
2020-05-14,754.78
2020-05-15,744.49
2020-05-18,773.18
2020-05-19,761.40
2020-05-20,761.59
2020-05-21,754.02
2020-05-22,763.93
2020-05-25,.
2020-05-26,769.03
2020-05-27,777.69
2020-05-28,800.80
2020-05-29,806.92
2020-06-01,815.33
2020-06-02,820.40
2020-06-03,831.27
2020-06-04,814.06
2020-06-05,826.52
2020-06-08,847.26
2020-06-09,830.34
2020-06-10,824.72
2020-06-11,793.23
2020-06-12,793.00
2020-06-15,799.76
2020-06-16,802.37
2020-06-17,800.36
2020-06-18,798.74
2020-06-19,770.61
2020-06-22,780.42
2020-06-23,773.47
2020-06-24,767.60
2020-06-25,757.34
2020-06-26,749.40
2020-06-29,764.39
2020-06-30,767.50
2020-07-01,785.15
2020-07-02,786.89
2020-07-03,.
2020-07-06,779.03
2020-07-07,775.59
2020-07-08,783.15
2020-07-09,774.23
2020-07-10,791.35
2020-07-13,791.24
2020-07-14,799.91
2020-07-15,796.47
2020-07-16,809.52
2020-07-17,828.60
2020-07-20,817.04
2020-07-21,820.47
2020-07-22,829.50
2020-07-23,830.70
2020-07-24,825.74
2020-07-27,813.02
2020-07-28,825.47
2020-07-29,828.96
2020-07-30,828.13
2020-07-31,830.77
2020-08-03,822.34
2020-08-04,832.49
2020-08-05,825.37
2020-08-06,828.87
2020-08-07,843.23
2020-08-10,841.03
2020-08-11,821.99
2020-08-12,836.74
2020-08-13,834.39
2020-08-14,824.87
2020-08-17,823.96
2020-08-18,820.37
2020-08-19,817.16
2020-08-20,810.59
2020-08-21,809.61
2020-08-24,817.71
2020-08-25,810.80
2020-08-26,798.89
2020-08-27,800.69
2020-08-28,800.73
2020-08-31,803.22
2020-09-01,794.08
2020-09-02,818.68
2020-09-03,808.12
2020-09-04,803.70
2020-09-07,.
2020-09-08,798.63
2020-09-09,809.51
2020-09-10,796.34
2020-09-11,799.93
2020-09-14,810.94
2020-09-15,818.68
2020-09-16,814.51
2020-09-17,810.81
2020-09-18,797.95
2020-09-21,793.72
2020-09-22,799.37
2020-09-23,785.16
2020-09-24,795.93
2020-09-25,808.13
2020-09-28,810.20
2020-09-29,808.99
2020-09-30,814.70
2020-10-01,824.27
2020-10-02,832.49
2020-10-05,844.57
2020-10-06,850.89
2020-10-07,859.99
2020-10-08,875.30
2020-10-09,875.81
2020-10-12,882.82
2020-10-13,876.05
2020-10-14,875.19
2020-10-15,875.22
2020-10-16,884.52
2020-10-19,877.60
2020-10-20,881.15
2020-10-21,877.10
2020-10-22,891.28
2020-10-23,893.68
2020-10-26,891.98
2020-10-27,890.68
2020-10-28,865.33
2020-10-29,867.65
2020-10-30,857.77
2020-11-02,876.56
2020-11-03,889.78
2020-11-04,877.69
2020-11-05,885.44
2020-11-06,881.76
2020-11-09,898.85
2020-11-10,916.18
2020-11-11,917.19
2020-11-12,902.10
2020-11-13,910.91
2020-11-16,917.38
2020-11-17,899.01
2020-11-18,881.37
2020-11-19,872.94
2020-11-20,873.29
2020-11-23,873.01
2020-11-24,882.62
2020-11-25,880.98
2020-11-26,.
2020-11-27,873.18
2020-11-30,861.74
2020-12-01,868.25
2020-12-02,874.66
2020-12-03,866.89
2020-12-04,856.13
2020-12-07,859.85
2020-12-08,858.36
2020-12-09,856.76
2020-12-10,854.06
2020-12-11,855.10
2020-12-14,852.81
2020-12-15,871.54
2020-12-16,859.59
2020-12-17,866.78
2020-12-18,857.26
2020-12-21,844.96
2020-12-22,842.22
2020-12-23,840.18
2020-12-24,845.97
2020-12-25,.
2020-12-28,849.55
2020-12-29,848.89
2020-12-30,850.59
2020-12-31,864.64
2021-01-01,.
2021-01-04,843.00
2021-01-05,842.21
2021-01-06,857.58
2021-01-07,844.03
2021-01-08,851.28
2021-01-11,843.31
2021-01-12,839.33
2021-01-13,855.74
2021-01-14,851.26
2021-01-15,861.09
2021-01-18,.
2021-01-19,857.45
2021-01-20,864.72
2021-01-21,857.90
2021-01-22,857.94
2021-01-25,872.17
2021-01-26,864.41
2021-01-27,844.37
2021-01-28,853.22
2021-01-29,852.40
2021-02-01,856.58
2021-02-02,863.32
2021-02-03,860.30
2021-02-04,867.61
2021-02-05,872.25
2021-02-08,865.41
2021-02-09,866.03
2021-02-10,871.21
2021-02-11,864.79
2021-02-12,857.10
2021-02-15,.
2021-02-16,851.20
2021-02-17,853.06
2021-02-18,857.98
2021-02-19,846.51
2021-02-22,830.38
2021-02-23,835.85
2021-02-24,825.65
2021-02-25,814.39
2021-02-26,795.61
2021-03-01,810.38
2021-03-02,806.08
2021-03-03,798.59
2021-03-04,800.17
2021-03-05,814.03
2021-03-08,823.45
2021-03-09,830.93
2021-03-10,837.05
2021-03-11,834.27
2021-03-12,844.88
2021-03-15,856.77
2021-03-16,859.04
2021-03-17,847.92
2021-03-18,846.03
2021-03-19,847.56
2021-03-22,847.67
2021-03-23,859.13
2021-03-24,861.59
2021-03-25,869.27
2021-03-26,873.55
2021-03-29,882.21
2021-03-30,874.49
2021-03-31,880.34
2021-04-01,879.51
2021-04-02,.
2021-04-05,889.88
2021-04-06,893.59
2021-04-07,892.35
2021-04-08,891.17
2021-04-09,891.67
2021-04-12,892.01
2021-04-13,902.59
2021-04-14,907.34
2021-04-15,917.19
2021-04-16,923.71
2021-04-19,920.83
2021-04-20,933.37
2021-04-21,927.30
2021-04-22,921.10
2021-04-23,918.26
2021-04-26,912.00
2021-04-27,904.67
2021-04-28,902.76
2021-04-29,911.06
2021-04-30,919.25
2021-05-03,919.78
2021-05-04,917.25
2021-05-05,902.30
2021-05-06,908.82
2021-05-07,909.90
2021-05-10,919.93
2021-05-11,910.14
2021-05-12,889.10
2021-05-13,905.11
2021-05-14,907.73
2021-05-17,899.39
2021-05-18,898.99
2021-05-19,896.69
2021-05-20,903.45
2021-05-21,908.53
2021-05-24,907.57
2021-05-25,897.73
2021-05-26,899.29
2021-05-27,892.92
2021-05-28,897.35
2021-05-31,.
2021-06-01,893.53
2021-06-02,897.86
2021-06-03,902.49
2021-06-04,900.82
2021-06-07,902.09
2021-06-08,894.26
2021-06-09,902.89
2021-06-10,908.68
2021-06-11,912.85
2021-06-14,915.18
2021-06-15,918.43
2021-06-16,903.93
2021-06-17,907.74
2021-06-18,884.86
2021-06-21,896.92
2021-06-22,890.32
2021-06-23,880.12
2021-06-24,878.97
2021-06-25,889.07
2021-06-28,893.21
2021-06-29,878.16
2021-06-30,876.07
2021-07-01,885.16
2021-07-02,885.78
2021-07-05,.
2021-07-06,889.68
2021-07-07,895.97
2021-07-08,891.72
2021-07-09,894.20
2021-07-12,897.60
2021-07-13,890.40
2021-07-14,896.49
2021-07-15,906.73
2021-07-16,914.61
2021-07-19,899.18
2021-07-20,902.50
2021-07-21,892.29
2021-07-22,892.98
2021-07-23,904.54
2021-07-26,904.40
2021-07-27,920.94
2021-07-28,915.79
2021-07-29,917.25
2021-07-30,907.42
2021-08-02,914.44
2021-08-03,920.69
2021-08-04,919.19
2021-08-05,930.75
2021-08-06,926.74
2021-08-09,925.12
2021-08-10,925.42
2021-08-11,931.52
2021-08-12,932.67
2021-08-13,938.29
2021-08-16,944.54
2021-08-17,943.92
2021-08-18,937.17
2021-08-19,940.96
2021-08-20,950.75
2021-08-23,939.44
2021-08-24,933.25
2021-08-25,934.45
2021-08-26,931.77
2021-08-27,932.25
2021-08-30,935.16
2021-08-31,934.30
2021-09-01,945.37
2021-09-02,952.62
2021-09-03,944.93
2021-09-06,.
2021-09-07,932.26
2021-09-08,949.12
2021-09-09,944.08
2021-09-10,929.14
2021-09-13,927.28
2021-09-14,924.69
2021-09-15,924.96
2021-09-16,916.73
2021-09-17,903.80
2021-09-20,901.54
2021-09-21,898.49
2021-09-22,898.05
2021-09-23,893.61
2021-09-24,892.80
2021-09-27,882.07
2021-09-28,869.74
2021-09-29,882.29
2021-09-30,874.63
2021-10-01,872.82
2021-10-04,885.70
2021-10-05,884.12
2021-10-06,896.25
2021-10-07,891.02
2021-10-08,884.70
2021-10-11,874.63
2021-10-12,879.40
2021-10-13,890.14
2021-10-14,900.09
2021-10-15,898.54
2021-10-18,889.48
2021-10-19,902.25
2021-10-20,916.16
2021-10-21,915.49
2021-10-22,921.43
2021-10-25,917.78
2021-10-26,921.77
2021-10-27,914.81
2021-10-28,921.15
2021-10-29,915.91
2021-11-01,919.82
2021-11-02,922.89
2021-11-03,914.17
2021-11-04,911.11
2021-11-05,918.63
2021-11-08,907.00
2021-11-09,909.94
2021-11-10,917.04
2021-11-11,910.26
2021-11-12,908.29
2021-11-15,919.61
2021-11-16,913.25
2021-11-17,912.34
2021-11-18,908.40
2021-11-19,914.39
2021-11-22,921.50
2021-11-23,922.66
2021-11-24,922.85
2021-11-25,.
2021-11-26,906.95
2021-11-29,920.57
2021-11-30,893.56
2021-12-01,892.49
2021-12-02,904.10
2021-12-03,914.03
2021-12-06,927.09
2021-12-07,934.12
2021-12-08,932.63
2021-12-09,931.13
2021-12-10,935.67
2021-12-13,947.26
2021-12-14,942.26
2021-12-15,957.26
2021-12-16,962.87
2021-12-17,950.07
2021-12-20,952.08
2021-12-21,950.10
2021-12-22,956.38
2021-12-23,955.77
2021-12-24,.
2021-12-27,960.82
2021-12-28,969.12
2021-12-29,975.11
2021-12-30,977.45
2021-12-31,980.78
2022-01-03,972.24
2022-01-04,969.73
2022-01-05,969.20
2022-01-06,962.46
2022-01-07,968.10
2022-01-10,962.66
2022-01-11,952.74
2022-01-12,955.22
2022-01-13,958.98
2022-01-14,953.07
2022-01-17,.
2022-01-18,942.76
2022-01-19,944.56
2022-01-20,945.60
2022-01-21,943.75
2022-01-24,932.47
2022-01-25,926.54
2022-01-26,922.87
2022-01-27,930.25
2022-01-28,941.03
2022-01-31,954.18
2022-02-01,942.61
2022-02-02,955.23
2022-02-03,950.60
2022-02-04,942.19
2022-02-07,943.20
2022-02-08,945.83
2022-02-09,949.03
2022-02-10,924.05
2022-02-11,924.77
2022-02-14,917.29
2022-02-15,911.01
2022-02-16,913.04
2022-02-17,915.00
2022-02-18,915.77
2022-02-21,.
2022-02-22,915.80
2022-02-23,902.04
2022-02-24,905.49
2022-02-25,938.25
2022-02-28,942.54
2022-03-01,939.00
2022-03-02,950.64
2022-03-03,966.81
2022-03-04,988.47
2022-03-07,996.40
2022-03-08,979.67
2022-03-09,974.13
2022-03-10,981.54
2022-03-11,978.68
2022-03-14,976.73
2022-03-15,988.17
2022-03-16,985.41
2022-03-17,990.83
2022-03-18,983.04
2022-03-21,990.73
2022-03-22,989.71
2022-03-23,991.53
2022-03-24,1000.82
2022-03-25,1016.64
2022-03-28,1022.03
2022-03-29,1033.32
2022-03-30,1042.10
2022-03-31,1041.96
2022-04-01,1057.27
2022-04-04,1045.75
2022-04-05,1050.58
2022-04-06,1070.93
2022-04-07,1067.77
2022-04-08,1070.84
2022-04-11,1058.03
2022-04-12,1062.26
2022-04-13,1061.15
2022-04-14,1061.63
2022-04-15,.
2022-04-18,1054.81
2022-04-19,1060.30
2022-04-20,1071.75
2022-04-21,1059.39
2022-04-22,1042.69
2022-04-25,1033.17
2022-04-26,1022.58
2022-04-27,1016.95
2022-04-28,1030.72
2022-04-29,999.90
2022-05-02,987.17
2022-05-03,990.31
2022-05-04,1011.30
2022-05-05,998.27
2022-05-06,1007.16
2022-05-09,998.05
2022-05-10,984.23
2022-05-11,991.15
2022-05-12,982.84
2022-05-13,992.74
2022-05-16,993.80
2022-05-17,1001.62
2022-05-18,991.68
2022-05-19,989.40
2022-05-20,990.86
2022-05-23,1005.02
2022-05-24,1022.36
2022-05-25,1020.72
2022-05-26,1022.04
2022-05-27,1035.30
2022-05-30,.
2022-05-31,1023.05
2022-06-01,1021.08
2022-06-02,1026.38
2022-06-03,1020.31
2022-06-06,1022.60
2022-06-07,1030.43
2022-06-08,1009.84
2022-06-09,985.66
2022-06-10,980.42
2022-06-13,934.70
2022-06-14,910.14
2022-06-15,912.35
2022-06-16,895.93
2022-06-17,887.72
2022-06-20,.
2022-06-21,904.22
2022-06-22,912.38
2022-06-23,935.74
2022-06-24,953.63
2022-06-27,961.43
2022-06-28,957.84
2022-06-29,959.49
2022-06-30,969.30
2022-07-01,992.63
2022-07-04,.
2022-07-05,958.21
2022-07-06,967.94
2022-07-07,966.60
2022-07-08,962.03
2022-07-11,966.95
2022-07-12,960.72
2022-07-13,956.59
2022-07-14,956.24
2022-07-15,963.16
2022-07-18,949.77
2022-07-19,957.41
2022-07-20,945.41
2022-07-21,948.95
2022-07-22,960.95
2022-07-25,974.75
2022-07-26,982.43
2022-07-27,983.96
2022-07-28,1014.35
2022-07-29,1024.18
2022-08-01,1023.91
2022-08-02,1019.45
2022-08-03,1025.74
2022-08-04,1021.62
2022-08-05,1013.96
2022-08-08,1015.12
2022-08-09,1023.41
2022-08-10,1027.65
2022-08-11,1025.65
2022-08-12,1041.56
2022-08-15,1050.62
2022-08-16,1053.86
2022-08-17,1053.86
2022-08-18,1057.22
2022-08-19,1056.06
2022-08-22,1040.95
2022-08-23,1034.17
2022-08-24,1037.73
2022-08-25,1043.51
2022-08-26,1026.74
2022-08-29,1031.30
2022-08-30,1017.69
2022-08-31,1009.08
2022-09-01,1024.55
2022-09-02,1014.17
2022-09-05,.
2022-09-06,1013.63
2022-09-07,1047.29
2022-09-08,1046.29
2022-09-09,1050.33
2022-09-12,1061.77
2022-09-13,1032.47
2022-09-14,1041.56
2022-09-15,1015.98
2022-09-16,1012.86
2022-09-19,1024.62
2022-09-20,1008.51
2022-09-21,995.14
2022-09-22,990.92
2022-09-23,978.52
2022-09-26,953.48
2022-09-27,934.23
2022-09-28,944.84
2022-09-29,906.00
2022-09-30,888.47
2022-10-03,914.79
2022-10-04,933.20
2022-10-05,909.40
2022-10-06,881.75
2022-10-07,863.43
2022-10-10,866.26
2022-10-11,866.66
2022-10-12,838.99
2022-10-13,860.61
2022-10-14,847.11
2022-10-17,865.50
2022-10-18,879.66
2022-10-19,870.88
2022-10-20,849.28
2022-10-21,864.47
2022-10-24,872.10
2022-10-25,888.77
2022-10-26,888.79
2022-10-27,896.78
2022-10-28,921.17
2022-10-31,913.44
2022-11-01,913.87
2022-11-02,904.59
2022-11-03,906.86
2022-11-04,913.01
2022-11-07,894.53
2022-11-08,903.30
2022-11-09,895.05
2022-11-10,939.14
2022-11-11,927.43
2022-11-14,918.81
2022-11-15,927.18
2022-11-16,935.51
2022-11-17,918.18
2022-11-18,939.33
2022-11-21,945.37
2022-11-22,953.00
2022-11-23,965.64
2022-11-24,.
2022-11-25,972.06
2022-11-28,961.88
2022-11-29,955.79
2022-11-30,981.30
2022-12-01,980.28
2022-12-02,975.79
2022-12-05,970.23
2022-12-06,978.96
2022-12-07,972.78
2022-12-08,977.54
2022-12-09,974.31
2022-12-12,994.16
2022-12-13,997.14
2022-12-14,994.79
2022-12-15,981.87
2022-12-16,963.24
2022-12-19,959.70
2022-12-20,958.49
2022-12-21,970.48
2022-12-22,966.24
2022-12-23,975.58
2022-12-26,.
2022-12-27,982.37
2022-12-28,973.40
2022-12-29,977.83
2022-12-30,967.40
2023-01-02,.
2023-01-03,970.68
2023-01-04,980.42
2023-01-05,960.25
2023-01-06,981.27
2023-01-09,988.42
2023-01-10,991.48
2023-01-11,1002.11
2023-01-12,993.88
2023-01-13,988.60
2023-01-16,.
2023-01-17,986.74
2023-01-18,961.52
2023-01-19,953.22
2023-01-20,960.60
2023-01-23,960.51
2023-01-24,966.58
2023-01-25,961.81
2023-01-26,966.74
2023-01-27,967.82
2023-01-30,964.11
2023-01-31,971.02
2023-02-01,973.88
2023-02-02,976.42
2023-02-03,953.58
2023-02-06,961.09
2023-02-07,958.18
2023-02-08,941.58
2023-02-09,927.91
2023-02-10,945.77
2023-02-13,951.80
2023-02-14,945.00
2023-02-15,950.07
2023-02-16,943.21
2023-02-17,953.61
2023-02-20,.
2023-02-21,938.87
2023-02-22,934.63
